Species,DBH,Male Cones,Female Cones,Height,Health,Pitch Tubes,Frass,Sap Drips,Holes,Crown Cover,Site,Beetle,Fecundity,Year,Tree Number
ATTE,9.2,N,N,5.8,D,Y,N,Y,N,0,2,2,0,2018,29
SABI,12.5,Y,Y,9.1,U,N,N,Y,N,30,2,1,3,2015,30
SABI,12.6,Y,Y,9.3,U,N,N,Y,N,35,2,1,3,2016,30
SABI,12.7,Y,Y,9.3,U,N,N,N,N,40,2,0,3,2017,30
SABI,12.8,Y,Y,9.5,U,N,N,N,N,45,2,0,3,2018,30
SABI,14,Y,Y,10.5,H,N,N,N,N,65,2,0,3,2015,31
SABI,14.1,Y,Y,10.6,H,N,N,N,N,65,2,0,3,2016,31
SABI,14.2,Y,Y,10.7,H,N,N,N,N,65,2,0,3,2017,31
SABI,14.3,Y,Y,10.8,U,N,N,Y,N,65,2,1,3,2018,31
SABI,17,Y,Y,11,H,N,N,N,N,60,2,0,3,2015,32
SABI,17.3,Y,Y,11.2,H,N,N,N,N,60,2,0,3,2016,32
SABI,17.5,Y,Y,11.3,H,N,N,N,N,60,2,0,3,2017,32
SABI,17.5,Y,Y,11.3,H,N,N,N,N,55,2,0,3,2018,32
SABI,19,Y,Y,14,H,N,N,N,N,60,2,0,3,2015,33
SABI,19.1,Y,Y,14,H,N,N,N,N,60,2,0,3,2016,33
SABI,19.3,Y,Y,14,H,N,N,N,N,60,2,0,3,2017,33
SABI,19.4,Y,Y,14,H,N,N,N,N,60,2,0,3,2018,33
